"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"1",1,"chris gayle",461,453,52,14547,"175",36.28,10044,144.83,22,88,77,30,1130,1056,4.59,8.89,"9.51",74.63,31.07,43.56,21.76,4.97,0.47,32.11,22.17,181.11,1.67,250000
"3",3,"kieron pollard",624,555,165,12175,"104",31.22,8089,150.51,1,58,99,22,764,812,5.13,10.59,"9.96",65.12,25.1,40.02,19.48,5.03,0.65,21.94,14.57,181.73,5.34,675000
"4",4,"virat kohli",364,347,67,11514,"122",41.12,8648,133.14,6,88,70,14,1021,363,6.25,8.47,"23.82",54.39,35.47,18.92,16,4.52,0.72,33.18,24.92,174.26,2.92,2e+06
"5",5,"david warner",348,347,44,11464,"135*",37.84,8161,140.47,8,97,53,21,1153,411,5.22,7.08,"19.86",61.74,40.23,21.51,19.16,4.53,0.66,33.04,23.52,178.31,1.67,781250
"6",6,"aaron finch",382,376,38,11392,"172",33.7,8223,138.54,8,77,79,26,1089,452,5.34,7.55,"18.19",62.04,38.24,23.81,18.74,4.59,0.65,30.3,21.87,172.24,2.14,550000
"7",7,"alex hales",385,383,29,10832,"116",30.6,7348,147.41,5,70,75,33,1201,428,4.51,6.12,"17.17",68.06,44.35,23.71,22.17,4.53,0.61,28.28,19.19,178.01,1.87,187500
"8",8,"rohit sharma",410,397,49,10779,"118",30.97,8064,133.67,6,73,68,25,968,466,5.62,8.33,"17.3",61.86,35.92,25.94,17.78,4.65,0.62,27.15,20.31,164.64,2.68,2e+06
"10",10,"brendon mccullum",367,363,33,9915,"158",30.05,7263,136.51,7,55,80,22,923,485,5.16,7.87,"14.98",66.59,37.24,29.35,19.39,4.69,0.57,27.31,20.01,166.56,2.07,450000
"12",12,"jos buttler",352,331,54,9514,"124",34.35,6592,144.33,6,66,50,16,846,403,5.28,7.79,"16.36",60.98,35.57,25.42,18.95,4.65,0.69,28.74,19.92,178.67,3.54,550000
"13",13,"shikhar dhawan",323,319,34,9505,"106*",33.35,7593,125.18,2,68,70,15,1070,220,5.89,7.1,"34.51",58.92,45.03,13.89,16.99,4.34,0.62,29.8,23.8,158.53,1.87,1031250
"14",14,"david miller",431,392,133,9454,"120",36.5,6792,139.19,4,44,76,19,660,424,6.27,10.29,"16.02",54.83,27.92,26.91,15.96,4.78,0.75,24.12,17.33,175.7,4.76,375000
"15",15,"ab de villiers",340,319,67,9420,"133*",37.38,6272,150.19,4,69,57,16,753,436,5.28,8.33,"14.39",59.75,31.97,27.77,18.96,4.73,0.75,29.53,19.66,187.57,3.75,1e+06
"16",16,"colin munro",372,354,45,9419,"114",30.48,6659,141.45,5,54,76,24,790,477,5.26,8.43,"13.96",63.93,33.55,30.39,19.03,4.75,0.63,26.61,18.81,171.93,3.09,237500
"17",17,"martin guptill",325,315,24,9001,"120",30.93,6885,130.73,5,52,70,18,782,411,5.77,8.8,"16.75",62.15,34.75,27.4,17.33,4.69,0.6,28.57,21.86,161.66,1.57,125000
"19",19,"faf du plessis",334,316,35,8949,"120*",31.85,6732,132.93,5,57,62,23,794,311,6.09,8.48,"21.65",56.34,35.49,20.85,16.41,4.56,0.69,28.32,21.3,164.78,2.7,875000
"20",20,"quinton de kock",302,294,25,8886,"140",33.03,6417,138.48,6,56,63,18,925,341,5.07,6.94,"18.82",64.66,41.64,23.03,19.73,4.54,0.61,30.22,21.83,171.51,1.63,843750
"21",21,"shane watson",341,333,34,8813,"124",29.47,6369,138.37,6,53,58,21,785,467,5.09,8.11,"13.64",67.42,35.63,31.79,19.66,4.75,0.56,26.47,19.13,167.85,2.56,5e+05
"22",22,"james vince",324,314,31,8754,"129",30.93,6493,134.82,4,51,68,24,980,223,5.4,6.63,"29.12",60.06,44.78,15.28,18.53,4.37,0.66,27.88,20.68,165.76,2.25,250000
"23",23,"glenn maxwell",383,361,52,8631,"154",27.93,5684,151.85,5,49,55,26,719,420,4.99,7.91,"13.53",62.52,33.32,29.2,20.04,4.74,0.71,23.91,15.75,179.78,4.11,1781250
"25",25,"ravi bopara",436,398,86,8502,"105",27.25,7010,121.28,1,42,77,18,662,249,7.69,10.59,"28.15",48.72,31.15,17.57,13,4.55,0.71,21.36,17.61,148.53,4.26,125000
"26",26,"luke wright",336,316,27,8428,"153",29.16,5903,142.77,7,46,58,23,896,296,4.95,6.59,"19.94",63.6,42.52,21.07,20.19,4.5,0.65,26.67,18.68,171.94,2.51,187500
"27",27,"suresh raina",329,313,48,8370,"109",31.58,6114,136.9,3,51,60,13,749,315,5.75,8.16,"19.41",58.38,35.79,22.58,17.4,4.59,0.69,26.74,19.53,168.48,3.35,250000
"28",28,"jason roy",313,306,15,8120,"145",27.9,5732,141.66,6,53,50,27,898,300,4.78,6.38,"19.11",66.4,44.24,22.17,20.9,4.5,0.6,26.54,18.73,169.56,1.39,250000
"30",30,"dawid malan",296,289,43,8018,"117",32.59,6220,128.91,5,50,53,15,796,245,5.98,7.81,"25.39",58.04,39.71,18.33,16.74,4.47,0.65,27.74,21.52,161.5,2.94,187500
"31",31,"paul stirling",323,320,14,7876,"119",25.74,5513,142.86,3,51,50,31,911,321,4.47,6.05,"17.17",70.72,46.27,24.45,22.35,4.52,0.54,24.61,17.23,168.6,1.46,62500
